X,Y,Polarity,Timestamp
65,26,0,14293264
12,105,0,14298387
54,19,0,14299375
65,110,0,14301064
23,43,0,14301368
68,7,0,14301788
76,82,0,14302318
29,59,0,14302926
91,40,0,14304303
11,118,0,14304417
106,40,0,14309391
72,66,0,14311217
20,47,0,14318425
67,109,0,14322183
43,48,0,14324470
58,16,0,14324744
91,55,0,14325364
81,89,0,14325662
4,104,0,14325752
58,1,0,14325871
118,19,0,14327406
102,13,0,14327829
19,117,0,14328819
6,72,0,14336385
16,32,0,14341212
12,125,0,14341678
15,16,0,14342423
119,58,0,14343519
114,31,0,14347778
49,79,0,14348851
10,76,0,14348874
59,34,0,14348993
51,112,0,14349742
51,2,0,14349971
5,126,0,14351697
6,24,0,14353105
98,122,0,14353225
81,106,0,14353345
30,106,0,14353350
44,95,0,14354445
56,12,0,14354709
39,111,0,14354763
86,1,0,14358036
105,1,0,14358057
100,24,0,14368078
90,109,0,14374383
87,52,0,14378149
1,4,0,14379522
36,42,0,14379630
41,46,0,14379632
60,49,0,14379696
47,54,0,14379802
67,62,0,14384897
87,64,0,14384971
0,20,0,14389070
73,108,0,14398862
100,78,0,14399093
42,108,0,14399138
44,96,0,14399370
32,69,0,14402102
4,95,0,14402176
73,72,0,14402200
27,40,0,14407513
16,79,0,14421402
78,6,0,14421794
55,6,0,14421889
40,115,0,14423832
86,97,0,14427587
118,24,0,14427727
109,113,0,14428131
21,22,0,14428421
4,17,0,14428776
59,85,0,14428999
40,49,0,14429000
126,19,0,14429051
119,49,0,14429083
105,77,0,14429095
10,120,0,14429126
120,9,0,14429158
12,59,0,14429195
26,17,0,14429224
66,123,0,14429235
11,123,0,14429293
2,11,0,14429432
80,54,0,14429460
28,54,0,14429469
41,78,0,14429592
77,101,0,14429616
106,46,0,14429669
43,50,0,14429811
61,68,0,14429939
92,75,0,14430032
77,70,0,14430579
20,9,0,14432619
72,43,0,14438191
122,23,0,14443790
23,122,0,14447109
116,25,0,14448038
28,90,0,14450526
80,29,0,14450909
56,57,0,14450977
106,71,0,14451413
106,43,0,14451458
71,69,0,14452147
54,96,0,14453671
40,1,0,14453991
91,110,0,14454118
75,125,0,14454129
6,125,0,14454189
3,116,0,14454214
64,26,0,14454215
99,124,0,14454369
41,16,0,14459213
93,58,0,14464915
83,70,0,14472517
23,101,0,14476257
4,21,0,14478039
107,0,0,14479828
12,57,0,14480329
5,40,0,14480338
44,12,0,14488671
21,70,0,14493845
91,10,0,14499306
73,111,0,14499807
123,18,0,14502625
76,66,0,14504179
18,84,0,14504220
101,109,0,14504298
7,32,0,14504387
112,77,0,14504391
5,44,0,14514027
13,122,0,14523015
127,27,0,14523569
83,99,0,14524518
94,19,0,14524698
35,48,0,14525225
40,7,0,14525364
21,71,0,14525374
107,50,0,14526138
55,125,0,14526702
32,72,0,14526885
0,113,0,14527654
124,87,0,14529147
19,123,0,14529774
45,57,0,14529968
29,12,0,14530057
109,51,0,14538445
14,121,0,14540102
25,47,0,14544622
94,12,0,14550852
89,73,0,14552972
125,28,0,14554882
26,60,0,14559342
37,30,0,14560124
51,14,0,14564423
115,3,1,14567238
40,113,0,14567959
90,102,0,14571240
12,114,0,14574039
36,47,0,14575200
126,22,0,14575241
98,82,0,14575394
30,87,0,14575597
13,85,0,14576199
51,15,0,14577745
53,14,0,14577852
80,106,0,14578316
7,68,0,14578409
59,87,0,14578545
77,7,0,14580123
100,46,0,14580309
56,0,0,14598506
63,97,0,14600692
41,13,0,14600728
56,2,0,14601254
23,55,0,14602098
91,60,0,14602339
123,58,0,14603703
117,34,0,14604633
94,90,0,14605283
37,105,0,14606299
95,57,0,14611608
78,122,0,14611892
2,86,0,14619612
1,22,0,14624850
