X,Y,Polarity,Timestamp
47,14,1,30
52,64,1,60
14,31,1,90
51,64,1,120
26,14,1,150
14,28,1,180
64,20,1,210
24,14,1,240
14,32,1,270
14,57,1,300
40,64,1,330
53,64,1,360
64,33,1,390
64,20,1,420
21,14,1,450
64,28,1,480
64,44,1,510
14,55,1,540
14,14,1,570
47,64,1,600
64,47,1,630
14,31,1,660
64,54,1,690
21,64,1,720
18,14,1,750
58,64,1,780
62,64,1,810
64,61,1,840
44,64,1,870
64,42,1,900
34,64,1,930
24,14,1,960
50,64,1,990
57,14,1,1020
64,14,1,1050
34,14,1,1080
28,64,1,1110
64,58,1,1140
14,44,1,1170
64,28,1,1200
20,64,1,1230
46,14,1,1260
45,64,1,1290
14,36,1,1320
50,64,1,1350
14,31,1,1380
64,46,1,1410
64,27,1,1440
64,52,1,1470
14,31,1,1500
14,46,1,1530
14,63,1,1560
15,64,1,1590
55,14,1,1620
64,62,1,1650
14,35,1,1680
14,47,1,1710
44,64,1,1740
35,64,1,1770
64,21,1,1800
64,46,1,1830
64,21,1,1860
44,64,1,1890
26,14,1,1920
64,27,1,1950
64,46,1,1980
64,19,1,2010
35,14,1,2040
35,64,1,2070
64,30,1,2100
64,34,1,2130
44,14,1,2160
62,64,1,2190
18,14,1,2220
60,64,1,2250
20,64,1,2280
36,64,1,2310
14,17,1,2340
64,56,1,2370
60,14,1,2400
64,64,1,2430
64,21,1,2460
45,14,1,2490
58,14,1,2520
29,64,1,2550
59,64,1,2580
32,14,1,2610
14,35,1,2640
41,64,1,2670
64,50,1,2700
14,59,1,2730
14,43,1,2760
33,14,1,2790
64,29,1,2820
58,64,1,2850
64,37,1,2880
14,46,1,2910
41,14,1,2940
64,58,1,2970
14,55,1,3000
15,64,1,3030
14,23,1,3060
34,14,1,3090
43,64,1,3120
14,41,1,3150
64,44,1,3180
14,46,1,3210
63,14,1,3240
42,14,1,3270
64,44,1,3300
17,14,1,3330
50,14,1,3360
28,64,1,3390
64,47,1,3420
58,14,1,3450
27,64,1,3480
64,43,1,3510
28,64,1,3540
32,64,1,3570
14,33,1,3600
64,32,1,3630
37,14,1,3660
64,64,1,3690
64,33,1,3720
60,14,1,3750
