# Second test
-10.17849313 -10.33717267
-10.02308574  -9.02317843
 -9.86856836  -7.71490251
 -9.71511114  -6.41246745
 -9.56286874  -5.11597296
 -9.41198753  -3.82549931
 -9.26260618  -2.54110813
 -9.11484632  -1.26284350
 -8.96882592   0.00926676
 -8.82465059   1.27521015
 -8.68242152   2.53499026
 -8.54222542   3.78862175
 -8.40414426   5.03613114
 -8.26825251   6.27755839
 -8.13461715   7.51295216
 -8.00329774   8.74236989
 -7.87434875   9.96587908
 -7.74781945  11.18355288
 -7.62375125  12.39547659
 -7.50218315  13.60173505
 -7.38314686  14.80242114
 -7.26666951  15.99763534
 -7.15278551  17.18747925
 -7.04150642  18.37206030
 -6.93285321  19.55148852
 -6.82684124  20.72587743
 -6.72348255  21.89534269
 -6.62278773  23.06000434
 -6.52476302  24.21998009
 -6.42941430  25.37539268
 -6.33674512  26.52636525
 -6.24675736  27.67302206
 -6.15945144  28.81548820
 -6.07482646  29.95388949
 -5.99288038  31.08835222
 -5.91361016  32.21900304
 -5.83701187  33.34596881
 -5.76308085  34.46937646
 -5.69181182  35.58935291
 -5.62319893  36.70602495
 -5.55723593  37.81951921
 -5.49391623  38.92996202
 -5.43323297  40.03747942
 -5.37517910  41.14219707
 -5.31974749  42.24424024
 -5.26693091  43.34373375
 -5.21672217  44.44080200
 -5.16911415  45.53556890
 -5.12409982  46.62815789
 -5.08167231  47.71869194
 -5.04182496  48.80729354
 -5.00455133  49.89408470
 -4.96984525  50.97918700
 -4.93770086  52.06272157
 -4.90811261  53.14480909
 -4.88107525  54.22556765
 -4.85658413  55.30512215
 -4.83463471  56.38358931
 -4.81522299  57.46108837
 -4.79834538  58.53773832
 -4.78399875  59.61365787
 -4.77218042  60.68896555
 -4.76288816  61.76377983
 -4.75611991  62.83821879
 -4.75187502  63.91239998
 -4.75015138  64.98644167
 -4.75095072  66.06046182
 -4.75427151  67.13457780
 -4.76011514  68.20890813
 -4.76848247  69.28357070
 -4.77937509  70.35868335
 -4.79279507  71.43436412
 -4.80874490  72.51073122
 -4.82722774  73.58790847
 -4.84824670  74.66600674
 -4.87180568  75.74514854
